EmploymentID,EmployeeID,DepartmentID,JobID,LocationID,HireDate,Working Days,TerminationDate,EmploymentStatus,MonthlySalary,Bonus,OvertimeHours,WorkMode,,,,
92,92,1,2,3,2022-10-31,869,,Active,169398,12373,33,Hybrid,,,,
93,93,1,4,3,2021-04-24,526,2023-05-01,Resigned,81487,302,39,Remote,,,,
94,94,5,5,1,2023-03-25,764,,Active,146376,13598,15,Onsite,,,,
95,95,5,1,1,2024-05-28,458,,Active,50704,7848,24,Onsite,,,,
96,96,3,6,2,2022-05-04,578,2024-07-21,Resigned,159044,3173,3,Hybrid,,,,
97,97,1,5,3,2023-09-28,631,,Active,62772,5450,0,Hybrid,,,,
98,98,1,1,3,2022-12-12,839,,Active,80643,5592,32,Onsite,,,,
99,99,3,5,2,2024-07-14,424,,Active,70537,2989,8,Remote,,,,
100,100,4,5,2,2025-01-13,294,,Active,76348,1177,24,Onsite,,,,
101,101,3,5,4,2023-09-02,649,,Active,118770,16173,20,Remote,,,,
102,102,3,2,2,2022-12-16,835,,Active,90379,13076,12,Onsite,,,,
103,103,2,2,1,2023-10-05,626,,Active,166999,16489,35,Remote,,,,
104,104,5,1,2,2021-03-31,471,2023-01-18,Resigned,159014,11371,9,Onsite,,,,
105,105,1,4,4,2023-08-10,666,,Active,152971,12149,6,Onsite,,,,
106,106,2,1,1,2022-07-13,947,,Active,82384,16393,23,Remote,,,,
107,107,2,3,4,2021-06-01,1238,,Active,172834,1316,3,Onsite,,,,
108,108,1,3,4,2024-05-10,470,,Active,126571,3040,4,Remote,,,,
109,109,3,4,3,2022-09-23,895,,Active,122231,2852,14,Onsite,,,,
110,110,5,2,3,2022-10-12,882,,Active,52421,769,34,Onsite,,,,
111,111,4,2,2,2022-09-29,891,,Active,100754,11543,18,Onsite,,,,
112,112,1,4,3,2024-04-05,495,,Active,57323,13031,36,Onsite,,,,
113,113,1,4,2,2024-10-08,363,,Active,170926,17091,12,Hybrid,,,,
114,114,4,5,2,2022-03-04,249,2023-02-15,Resigned,170703,1735,2,Onsite,,,,
115,115,4,6,4,2024-02-28,522,,Active,170541,9686,29,Onsite,,,,
116,116,1,4,1,2022-03-29,349,2023-07-28,Resigned,113910,207,29,Onsite,,,,
117,117,4,3,4,2023-09-07,646,,Active,126437,236,22,Onsite,,,,
118,118,2,1,1,2024-06-25,438,,Active,143452,13395,5,Hybrid,,,,
119,119,1,5,2,2023-01-08,717,2025-10-07,Resigned,164264,5782,1,Remote,,,,
120,120,2,4,2,2023-08-27,654,,Active,172810,5299,22,Onsite,,,,
121,121,4,2,4,2024-12-13,315,,Active,55382,4437,36,Remote,,,,
122,122,2,6,2,2021-02-11,1316,,Active,132468,1826,29,Hybrid,,,,
123,123,2,3,2,2023-10-28,609,,Active,123222,13716,34,Onsite,,,,
124,124,4,6,1,2024-05-14,468,,Active,169865,8984,32,Hybrid,,,,
125,125,1,6,1,2023-04-02,759,,Active,159099,11138,34,Hybrid,,,,
126,126,4,5,4,2022-04-27,853,2025-08-02,Resigned,62347,16920,14,Hybrid,,,,
127,127,5,3,2,2021-05-08,1254,,Active,73179,19420,5,Hybrid,,,,
128,128,3,2,1,2022-10-25,513,2024-10-10,Resigned,87913,6488,1,Hybrid,,,,
129,129,3,4,1,2025-01-26,284,,Active,89936,5448,27,Onsite,,,,
130,130,2,5,4,2023-02-24,414,2024-09-25,Resigned,143723,12411,37,Onsite,,,,
131,131,5,5,2,2023-02-07,514,2025-01-25,Resigned,71715,1549,6,Remote,,,,
132,132,5,2,3,2024-04-21,484,,Active,134818,6548,37,Onsite,,,,
133,133,5,2,1,2024-12-17,313,,Active,105428,14828,20,Remote,,,,
134,134,4,2,4,2021-06-13,1229,,Active,67420,18739,25,Onsite,,,,
135,135,2,5,1,2022-08-17,922,,Active,73380,19877,20,Remote,,,,
136,136,4,5,1,2021-01-17,1334,,Active,135536,6272,1,Hybrid,,,,
137,137,1,1,4,2021-08-20,1180,,Active,172734,17159,21,Onsite,,,,
138,138,1,3,1,2024-04-11,440,2025-12-17,Resigned,108936,9223,12,Onsite,,,,
139,139,2,6,4,2022-02-12,155,2022-09-16,Resigned,128588,16531,20,Onsite,,,,
140,140,2,6,3,2022-02-03,1061,,Active,170426,8964,29,Onsite,,,,
141,141,2,3,1,2024-05-28,458,,Active,106063,2376,1,Onsite,,,,
142,142,5,4,4,2023-04-16,749,,Active,168257,6910,9,Onsite,,,,
143,143,4,2,3,2023-02-09,796,,Active,153212,6303,30,Onsite,,,,
144,144,3,6,4,2021-09-30,1151,,Active,71806,12232,24,Onsite,,,,
145,145,3,2,4,2023-03-01,782,,Active,121971,685,20,Onsite,,,,
146,146,5,6,4,2021-02-08,1319,,Active,88950,2196,12,Hybrid,,,,
147,147,5,5,2,2021-08-26,1176,,Active,153255,10773,27,Onsite,,,,
148,148,4,5,2,2021-08-01,1194,,Active,89638,4082,22,Onsite,,,,
149,149,5,6,3,2024-10-08,363,,Active,53894,18037,18,Onsite,,,,
150,150,1,4,1,2024-07-28,414,,Active,133199,8553,15,Remote,,,,
151,151,2,5,4,2024-02-02,540,,Active,140081,11754,24,Hybrid,,,,
152,152,4,4,2,2023-07-12,687,,Active,112695,5132,8,Hybrid,,,,
153,153,5,1,4,2021-11-10,293,2022-12-23,Resigned,160725,13944,33,Onsite,,,,
154,154,4,2,4,2023-10-12,621,,Active,127617,2179,3,Onsite,,,,
155,155,5,2,2,2024-03-23,504,,Active,148892,13109,39,Onsite,,,,
156,156,5,6,3,2021-07-07,1212,,Active,72766,10822,3,Onsite,,,,
157,157,2,6,2,2021-12-02,500,2023-11-01,Resigned,81727,11005,23,Hybrid,,,,
158,158,5,4,2,2024-04-26,480,,Active,155384,3390,18,Remote,,,,
159,159,1,1,2,2024-02-15,531,,Active,102775,16044,35,Onsite,,,,
160,160,1,4,2,2024-02-11,534,,Active,72386,9518,10,Hybrid,,,,
161,161,4,3,3,2022-02-05,1059,,Active,94811,18394,14,Onsite,,,,
162,162,5,6,1,2024-11-24,329,,Active,91850,13930,29,Remote,,,,
163,163,5,5,4,2022-07-17,944,,Active,128369,5017,4,Hybrid,,,,
164,164,4,6,3,2024-01-03,562,,Active,153899,15941,25,Remote,,,,
165,165,1,6,2,2023-07-20,681,,Active,113920,10851,5,Hybrid,,,,
166,166,4,5,2,2021-07-07,1212,,Active,112155,13975,24,Onsite,,,,
167,167,2,6,3,2022-09-10,904,,Active,148302,162,27,Onsite,,,,
168,168,2,2,3,2021-07-24,1199,,Active,86800,5347,19,Onsite,,,,
169,169,3,4,4,2021-07-15,1206,,Active,75682,14289,31,Onsite,,,,
170,170,1,5,2,2021-07-18,1204,,Active,178611,3959,13,Remote,,,,
171,171,5,4,1,2024-02-29,521,,Active,167788,18322,24,Onsite,,,,
172,172,1,1,4,2021-06-10,648,2023-12-04,Resigned,136006,15352,6,Onsite,,,,
173,173,1,1,2,2024-10-09,362,,Active,63474,13992,38,Onsite,,,,
174,174,1,2,2,2021-07-17,1204,,Active,58140,17921,21,Onsite,,,,
175,175,4,3,2,2022-03-11,1035,,Active,138269,8535,39,Remote,,,,
176,176,5,4,2,2021-08-31,1173,,Active,82823,10271,6,Onsite,,,,
177,177,3,5,1,2023-06-03,714,,Active,141468,18133,27,Onsite,,,,
178,178,4,1,2,2023-11-16,596,,Active,145417,16280,2,Onsite,,,,
179,179,5,3,3,2023-02-13,794,,Active,133664,18810,18,Onsite,,,,
180,180,5,1,3,2021-01-08,1340,,Active,78243,10403,36,Onsite,,,,
181,181,3,5,3,2021-08-26,1176,,Active,130445,11531,1,Remote,,,,
182,182,5,4,4,2021-02-09,1318,,Active,170147,19584,7,Onsite,,,,
183,183,1,4,3,2021-09-17,1160,,Active,169661,5906,31,Onsite,,,,
184,184,5,2,4,2023-11-06,604,,Active,76852,10102,20,Remote,,,,
185,185,1,4,2,2021-09-04,740,2024-07-06,Resigned,54752,10592,3,Onsite,,,,
186,186,2,6,3,2023-10-19,616,,Active,142756,16648,37,Hybrid,,,,
187,187,3,4,4,2024-11-01,345,,Active,88732,16087,33,Onsite,,,,
188,188,1,3,3,2024-07-24,298,2025-09-14,Resigned,140648,18099,33,Onsite,,,,
189,189,1,5,4,2024-01-04,561,,Active,121975,9087,21,Onsite,,,,
190,190,4,6,1,2023-07-20,681,,Active,174295,1089,34,Hybrid,,,,
191,191,3,1,1,2021-01-01,1345,,Active,132960,14478,20,Onsite,,,,
192,192,3,3,3,2022-04-05,424,2023-11-18,Resigned,95939,10449,32,Onsite,,,,
193,193,5,6,3,2024-10-09,362,,Active,178669,141,35,Onsite,,,,
194,194,1,3,2,2022-08-19,446,2024-05-03,Resigned,106709,4249,37,Remote,,,,
195,195,1,3,4,2024-12-20,310,,Active,50075,10412,6,Hybrid,,,,
196,196,1,6,1,2023-02-26,784,,Active,95085,1460,35,Onsite,,,,
197,197,1,4,3,2024-10-31,346,,Active,91733,18146,13,Remote,,,,
198,198,5,6,1,2022-05-29,979,,Active,134709,19582,15,Onsite,,,,
199,199,5,4,1,2021-09-25,1154,,Active,110087,1492,20,Onsite,,,,
200,200,1,5,3,2023-10-10,461,2025-07-15,Resigned,91403,9168,33,Onsite,,,,
201,201,2,4,1,2021-11-28,1109,,Active,116853,16910,18,Onsite,,,,
202,202,4,4,4,2022-06-17,965,,Active,141019,12466,3,Onsite,,,,
203,203,3,1,1,2022-08-02,933,,Active,176265,2007,33,Onsite,,,,
204,204,3,4,2,2024-07-09,428,,Active,131795,8921,26,Remote,,,,
205,205,5,4,4,2021-04-03,1279,,Active,140074,8333,34,Onsite,,,,
206,206,4,1,2,2022-12-02,358,2024-04-16,Resigned,103557,17543,19,Onsite,,,,
207,207,5,1,1,2022-12-05,844,,Active,110333,18184,23,Hybrid,,,,
208,208,5,3,2,2023-03-30,761,,Active,94334,3112,38,Remote,,,,
209,209,5,5,1,2024-09-18,377,,Active,106035,8210,11,Hybrid,,,,
210,210,1,3,2,2024-06-17,444,,Active,179393,15812,7,Onsite,,,,
211,211,2,2,4,2023-10-02,629,,Active,179832,1875,17,Onsite,,,,
212,212,4,1,1,2022-10-01,889,,Active,79542,10651,39,Onsite,,,,
213,213,1,2,2,2022-10-17,879,,Active,116425,5054,28,Remote,,,,
214,214,1,4,3,2024-07-13,424,,Active,115194,11381,8,Hybrid,,,,
215,215,2,1,1,2022-10-29,869,,Active,144932,386,15,Onsite,,,,
216,216,1,1,3,2022-02-23,1047,,Active,112534,5476,20,Hybrid,,,,
217,217,5,6,2,2024-08-10,404,,Active,166251,2658,8,Onsite,,,,
218,218,1,3,4,2024-10-19,354,,Active,124003,19627,14,Onsite,,,,
219,219,4,5,4,2024-02-16,530,,Active,146665,7835,36,Hybrid,,,,
220,220,4,3,3,2022-07-13,621,2024-11-27,Resigned,162961,7611,17,Onsite,,,,
221,221,2,4,4,2025-02-07,275,,Active,56120,18213,4,Remote,,,,
222,222,3,5,4,2023-04-13,589,2025-07-15,Resigned,87359,19799,2,Onsite,,,,
223,223,3,5,3,2024-12-24,308,,Active,159650,11826,5,Onsite,,,,
224,224,1,5,1,2022-04-30,999,,Active,53036,785,8,Hybrid,,,,
225,225,4,5,1,2022-09-30,890,,Active,104500,3807,21,Onsite,,,,
226,226,5,3,2,2022-11-05,729,2025-08-21,Resigned,95098,13865,33,Onsite,,,,
227,227,3,1,4,2023-07-31,674,,Active,45138,358,3,Onsite,,,,
228,228,3,4,2,2022-04-28,762,2025-03-28,Resigned,71762,13283,16,Hybrid,,,,
229,229,5,4,2,2023-02-01,802,,Active,177379,14852,16,Onsite,,,,
230,230,5,6,3,2021-03-05,1300,,Active,71421,1708,11,Onsite,,,,
231,231,1,3,3,2023-09-04,649,,Active,111093,15883,5,Onsite,,,,
232,232,3,1,2,2022-09-12,904,,Active,140071,12869,35,Hybrid,,,,
233,233,3,5,2,2022-02-03,1061,,Active,113344,6642,16,Onsite,,,,
234,234,5,3,4,2022-08-27,914,,Active,51142,19203,6,Remote,,,,
235,235,3,3,1,2021-04-26,385,2022-10-14,Resigned,147239,13127,18,Onsite,,,,
236,236,3,3,2,2021-10-14,1141,,Active,144441,3420,21,Onsite,,,,
237,237,1,3,4,2021-11-16,1118,,Active,96151,17611,1,Onsite,,,,
238,238,1,6,3,2024-08-19,399,,Active,167225,10503,25,Onsite,,,,
239,239,5,4,4,2024-08-08,406,,Active,165356,9959,7,Hybrid,,,,
240,240,1,2,2,2021-09-14,1163,,Active,120969,15038,39,Onsite,,,,
241,241,3,6,4,2024-07-07,429,,Active,177453,1098,34,Onsite,,,,
242,242,1,2,2,2024-08-06,203,2025-05-15,Resigned,67031,5185,39,Onsite,,,,
243,243,4,2,3,2024-10-13,359,,Active,161185,13324,30,Onsite,,,,
244,244,5,5,3,2024-05-23,461,,Active,98117,5686,26,Onsite,,,,
245,245,1,1,2,2024-06-10,449,,Active,167258,13364,18,Onsite,,,,
246,246,4,4,4,2021-07-02,1215,,Active,83333,15369,35,Onsite,,,,
247,247,4,5,3,2024-04-16,488,,Active,152507,8244,23,Hybrid,,,,
248,248,1,1,3,2025-01-29,282,,Active,91154,7016,11,Onsite,,,,
249,249,5,4,1,2024-03-23,504,,Active,71917,14087,5,Onsite,,,,
250,250,4,2,3,2022-10-30,555,2024-12-14,Resigned,77402,5793,3,Remote,,,,
251,251,2,2,1,2024-01-12,555,,Active,165779,11684,16,Onsite,,,,
252,252,5,1,4,2022-09-24,894,,Active,116854,12180,12,Hybrid,,,,
253,253,4,3,3,2025-01-15,292,,Active,120357,5832,20,Hybrid,,,,
254,254,1,3,3,2023-03-21,502,2025-02-19,Resigned,99575,15206,27,Onsite,,,,
255,255,5,5,4,2021-08-15,1184,,Active,83342,13324,17,Remote,,,,
256,256,4,5,3,2022-10-11,883,,Active,163581,2005,32,Hybrid,,,,
257,257,4,6,4,2021-06-11,1230,,Active,135887,14609,2,Onsite,,,,
258,258,4,3,3,2022-06-24,960,,Active,99336,8547,20,Hybrid,,,,
259,259,5,5,2,2021-02-18,607,2023-06-17,Resigned,107507,2100,9,Onsite,,,,
260,260,1,4,2,2023-05-18,726,,Active,69472,8578,37,Onsite,,,,
261,261,1,4,3,2022-06-25,959,,Active,177473,19643,25,Hybrid,,,,
262,262,1,2,1,2022-04-10,1014,,Active,47745,3866,29,Onsite,,,,
263,263,3,5,4,2022-10-27,871,,Active,114561,18950,11,Onsite,,,,
264,264,1,1,4,2024-06-05,452,,Active,161895,4426,7,Onsite,,,,
265,265,2,2,4,2024-05-22,462,,Active,135306,8680,28,Onsite,,,,
266,266,4,2,3,2024-02-22,526,,Active,157217,630,4,Remote,,,,
267,267,4,2,1,2022-06-24,960,,Active,153048,5690,25,Hybrid,,,,
268,268,4,3,3,2024-11-18,334,,Active,151956,13379,30,Hybrid,,,,
269,269,1,6,2,2022-07-18,944,,Active,68989,9915,30,Hybrid,,,,
270,270,2,6,3,2021-01-05,1343,,Active,158000,14794,32,Hybrid,,,,
271,271,2,6,2,2023-01-06,820,,Active,173557,11837,21,Onsite,,,,
272,272,4,5,3,2024-05-31,455,,Active,83405,1116,7,Hybrid,,,,
273,273,1,4,3,2021-11-27,1109,,Active,153042,13979,5,Onsite,,,,
274,274,3,5,1,2022-11-27,849,,Active,60449,10685,11,Remote,,,,
275,275,3,5,2,2021-11-07,841,2025-01-27,Resigned,173389,619,28,Hybrid,,,,
276,276,5,2,4,2021-09-02,1171,,Active,95081,5366,7,Hybrid,,,,
277,277,5,2,4,2022-05-10,449,2024-01-26,Resigned,146971,8277,8,Onsite,,,,
278,278,2,3,2,2024-03-25,265,2025-03-30,Resigned,173727,18601,39,Onsite,,,,
279,279,4,1,2,2023-06-08,711,,Active,128596,1196,9,Onsite,,,,
280,280,5,6,3,2022-10-29,869,,Active,152096,9171,19,Onsite,,,,
281,281,4,5,3,2024-10-14,359,,Active,64149,12972,28,Onsite,,,,
282,282,1,1,1,2023-08-19,184,2024-05-02,Resigned,157492,12602,10,Onsite,,,,
283,283,3,5,3,2024-11-25,329,,Active,129700,12996,10,Onsite,,,,
284,284,5,5,2,2022-02-07,285,2023-03-12,Resigned,87998,6297,39,Hybrid,,,,
285,285,1,3,4,2023-05-24,722,,Active,92857,3180,28,Remote,,,,
286,286,5,1,3,2023-07-13,686,,Active,108353,16654,34,Onsite,,,,
287,287,2,4,3,2024-07-30,413,,Active,60523,14300,23,Onsite,,,,
288,288,5,6,1,2022-03-09,1037,,Active,52415,16662,4,Onsite,,,,
289,289,5,5,4,2022-12-01,846,,Active,79148,9865,39,Onsite,,,,
290,290,1,5,1,2021-12-08,1102,,Active,156435,19493,35,Onsite,,,,
291,291,5,6,1,2021-11-02,1128,,Active,70711,16589,35,Onsite,,,,
292,292,1,1,3,2021-09-29,713,2024-06-23,Resigned,179345,14367,33,Hybrid,,,,
293,293,5,6,1,2022-12-27,828,,Active,123958,152,20,Onsite,,,,
294,294,3,6,1,2022-07-17,944,,Active,55728,7263,38,Onsite,,,,
295,295,1,5,2,2024-11-02,344,,Active,146968,19873,28,Onsite,,,,
296,296,1,3,2,2024-08-24,383,2026-02-11,Resigned,86520,18287,0,Onsite,,,,
297,297,3,4,3,2023-05-14,729,,Active,116569,8560,18,Onsite,,,,
298,298,3,5,3,2023-04-06,756,,Active,115305,4796,3,Hybrid,,,,
299,299,3,6,4,2023-09-20,637,,Active,176060,18624,4,Onsite,,,,
300,300,4,4,4,2022-10-21,875,,Active,49986,1481,24,Onsite,,,,
